Zone,Zone_Name,County,Latitude,Longitude
CO036,Jefferson and West Douglas Counties Above  6000 Feet/Gilpin/Clear Creek/Northeast Park Counties Below 9000 Feet,Park,39.4838,-105.2681
CO037,Central and Southeast Park County,Park,38.9846,-105.6737
CO038,Larimer County Below 6000 Feet/Northwest Weld County,Weld,40.7183,-104.8423
CO039,Boulder And Jefferson Counties Below 6000 Feet/West Broomfield County,Jefferson,39.9606,-105.156
CO040,North Douglas County Below 6000 Feet/Denver/West Adams and Arapahoe Counties/East Broomfield County,Douglas,39.7656,-104.804
CO041,Elbert/Central and East Douglas Counties Above 6000 Feet,Elbert,39.3075,-104.5091
CO042,Northeast Weld County,Weld,40.7427,-104.0025
CO043,Central and South Weld County,Weld,40.2668,-104.5924
CO044,Morgan County,Morgan,40.2627,-103.8098
CO045,Central and East Adams and Arapahoe Counties,Arapahoe,39.7839,-104.1048
CO046,North and Northeast Elbert County Below 6000 Feet/North Lincoln County,Lincoln,39.356,-103.6814
CO047,Southeast Elbert County Below 6000 Feet/South Lincoln County,Lincoln,38.8048,-103.5944
CO048,Logan County,Logan,40.7247,-103.1101
CO049,Washington County,Washington,39.971,-103.2013
CO050,Sedgwick County,Sedgwick,40.8758,-102.3518
CO051,Phillips County,Phillips,40.5939,-102.3575
CO058,Western Mosquito Range/East Lake County Above 11000 Ft,Lake,39.2545,-106.2141
CO059,Leadville Vicinity/Lake County Below 11000 Ft,Lake,39.1873,-106.3446
CO060,Eastern Sawatch Mountains above 11000 Ft,Saguache,38.8197,-106.3586
CO061,Western Chaffee County Between 9000 and 11000 Ft,Chaffee,38.7415,-106.2559
CO062,Central Chaffee County Below 9000 Ft,Chaffee,38.6873,-106.0928
CO063,Western Mosquito Range/East Chaffee County above 9000Ft,Chaffee,38.8243,-106.0253
CO064,Saguache County West of Continental Divide Below 10000 Ft,Saguache,38.3063,-106.7044
CO065,Saquache County East of Continental Divide below 10000 Ft,Saguache,38.1071,-106.3423
CO066,La Garita Mountains Above 10000 Ft,Saguache,38.0229,-106.7318
CO067,Upper Rio Grande Valley/Eastern San Juan Mountains Below 10000 Ft,Rio Grande,37.469,-106.5413
CO068,Eastern San Juan Mountains Above 10000 Ft,Rio Grande,37.4272,-106.7002
CO069,Del Norte Vicinity/Northern San Luis Valley Below 8500 Ft,Saguache,37.9152,-106.0347
CO070,Alamosa  Vicinity/Central San Luis Valley Below 8500 Ft,Rio Grande,37.5614,-105.8929
CO071,Southern San Luis Valley,Costilla,37.2224,-105.7537
CO072,Northern Sangre de Cristo Mountains Between 8500 And 11000 Ft,Saguache,37.9018,-105.5379
CO073,Northern Sangre de Cristo Mountains above 11000 Ft,Saguache,37.9767,-105.617
CO074,Southern Sangre De Cristo Mountains Between 7500 and 11000 Ft,Las Animas,37.2245,-105.0257
CO075,Southern Sangre De Cristo Mountains Above 11000 Ft,Las Animas,37.2046,-105.1708
CO076,Northwestern Fremont County  Above 8500Ft,Fremont,38.6011,-105.6475
CO077,Western/Central Fremont County Below 8500 Ft,Fremont,38.4248,-105.5558
CO078,Wet Mountain Valley Below 8500 Ft,Huerfano,38.1353,-105.4502
CO079,Wet Mountains between 6300 and 10000Ft,Pueblo,38.046,-105.1469
CO080,Wet Mountains above 10000 Ft,Pueblo,37.9888,-105.1345
CO081,Teller County/Rampart Range above 7500fT/Pike's Peak Between 7500 And 11000 Ft,Teller,38.8708,-105.113
CO082,Pikes Peak above 11000 Ft,Teller,38.8156,-105.0464
CO083,Canon City Vicinity/Eastern Fremont County,Teller,38.4443,-105.1148
CO084,Northern El Paso County/Monument Ridge/Rampart Range Below 7500 Ft,El Paso,39.0124,-104.4498
